annee;atc2;l_atc2;region;boites;population;boites_pour_1000
2024;A01;PREPARATIONS STOMATOLOGIQUES;11;3898237;12507542;312
2024;A01;PREPARATIONS STOMATOLOGIQUES;24;671624;2588006;260
2024;A01;PREPARATIONS STOMATOLOGIQUES;27;624002;2800180;223
2024;A01;PREPARATIONS STOMATOLOGIQUES;28;838875;3348960;250
2024;A01;PREPARATIONS STOMATOLOGIQUES;32;1851207;5983840;309
2024;A01;PREPARATIONS STOMATOLOGIQUES;44;1437149;5557457;259
2024;A01;PREPARATIONS STOMATOLOGIQUES;52;929207;3926871;237
2024;A01;PREPARATIONS STOMATOLOGIQUES;53;792017;3469711;228
2024;A01;PREPARATIONS STOMATOLOGIQUES;75;1839002;6181885;297
2024;A01;PREPARATIONS STOMATOLOGIQUES;76;1997065;6165869;324
2024;A01;PREPARATIONS STOMATOLOGIQUES;84;2211417;8238335;268
2024;A01;PREPARATIONS STOMATOLOGIQUES;93;2395626;5252362;456
2024;A02;MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE;11;15383862;12507542;1230
2024;A02;MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE;24;3996996;2588006;1544
2024;A02;MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE;27;4342140;2800180;1551
2024;A02;MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE;28;5270365;3348960;1574
2024;A02;MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE;32;9849729;5983840;1646
2024;A02;MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE;44;8740851;5557457;1573
2024;A02;MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE;52;4553364;3926871;1160
2024;A02;MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE;53;4629484;3469711;1334
2024;A02;MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE;75;9952242;6181885;1610
2024;A02;MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE;76;9149572;6165869;1484
2024;A02;MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE;84;10146847;8238335;1232
2024;A02;MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE;93;9498737;5252362;1808
2024;A03;MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX;11;7639896;12507542;611
2024;A03;MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX;24;1676989;2588006;648
