annee;region;population
2024;11;12507542
2024;24;2588006
2024;27;2800180
2024;28;3348960
2024;32;5983840
2024;44;5557457
2024;52;3926871
2024;53;3469711
2024;75;6181885
2024;76;6165869
2024;84;8238335
2024;93;5252362
2023;11;12463067
2023;24;2587031
2023;27;2802670
2023;28;3345842
2023;32;5992194
2023;44;5563378
2023;52;3907156
2023;53;3449370
2023;75;6150451
2023;76;6124653
2023;84;8205557
2023;93;5218960
2022;11;12380964
2022;24;2581597
2022;27;2803977
2022;28;3339074
2022;32;5998916
2022;44;5560079
2022;52;3879216
2022;53;3422845
2022;75;6113384
2022;76;6080731
2022;84;8163884
2022;93;5170312
2021;11;12317279
2021;24;2573303
2021;27;2800194
2021;28;3327966
2021;32;5995292
2021;44;5561287
2021;52;3853999
2021;53;3394567
2021;75;6069352
2021;76;6022176
2021;84;8114361
2021;93;5127840
2020;11;12271794
2020;24;2574863
2020;27;2801695
2020;28;3325522
2020;32;5997734
2020;44;5562651
2020;52;3832120
2020;53;3373835
2020;75;6033952
2020;76;5973969
2020;84;8078652
2020;93;5098666
2019;11;12262544
2019;24;2573180
2019;27;2805580
2019;28;3325032
2019;32;6004947
2019;44;5556219
2019;52;3806461
2019;53;3354854
2019;75;6010289
2019;76;5933185
2019;84;8042936
2019;93;5081101
2018;11;12213447
2018;24;2572853
2018;27;2807807
2018;28;3327477
2018;32;6004108
2018;44;5550389
2018;52;3781423
2018;53;3335414
2018;75;5979778
2018;76;5885496
2018;84;7994459
2018;93;5052832
2017;11;12174880
2017;24;2576252
2017;27;2811423
2017;28;3330478
2017;32;6003815
2017;44;5549586
2017;52;3757600
2017;53;3318904
2017;75;5956978
2017;76;5845102
2017;84;7948287
2017;93;5030890
2016;11;12117132
2016;24;2577866
2016;27;2818338
2016;28;3335929
2016;32;6006870
2016;44;5555186
2016;52;3737632
2016;53;3306529
2016;75;5935603
2016;76;5808435
2016;84;7916889
2016;93;5021928
2015;11;12082144
2015;24;2578592
2015;27;2820940
2015;28;3339131
2015;32;6009976
2015;44;5559051
2015;52;3718512
2015;53;3293850
2015;75;5911482
2015;76;5774185
2015;84;7877698
2015;93;5007977
2014;11;12027565
2014;24;2577435
2014;27;2820623
2014;28;3335645
2014;32;6006156
2014;44;5554645
2014;52;3690833
2014;53;3276543
2014;75;5879144
2014;76;5730753
2014;84;7820966
2014;93;4983438
