nom,ville,cp,region,lat,lon
Pharmacie du Golf,,,Île-de-France,48.8491703,2.2010502
Pharmacie Lawson,,,Île-de-France,48.934061,2.20899
Pharmacie Saint-Cyrienne,,,Île-de-France,48.799096,2.0692698
Pharmacie de la Préfecture,Nanterre,92000.0,Île-de-France,48.8950807,2.2218977
Pharmacie du Centre,,,Île-de-France,48.7655832,2.1624395
Pharmacie Oberkampf,,,Île-de-France,48.7644058,2.1681079
Pharmacie Porchefontaine,Versailles,78000.0,Île-de-France,48.7961064,2.1544137
Pharmacie Dupont Michel,,78000.0,Île-de-France,48.806783,2.1309203
Pharmacie Principale,,,Île-de-France,48.8071612,2.1325466
Grande Pharmacie Du Mail,,,Île-de-France,48.7848572,2.1824139
Pharmacie de l'Épi d'Or,,,Île-de-France,48.7951178,2.0661962
Pharmacie Rafaël,,,Île-de-France,48.7988456,2.1277538
CityPharma,Paris,75006.0,Île-de-France,48.8527413,2.3333559
Pharmacie de la Rapée,,,Île-de-France,48.8468034,2.3697331
Pharmacie de Nozay,Nozay,91620.0,Île-de-France,48.6598176,2.2423224
Pharmacie Lecourbe Cambronne,Paris,75015.0,Île-de-France,48.8427695,2.3027722
Pharmacie Kries,,,Île-de-France,48.8416259,2.3030314
Pharmacie des Écoles,,,Île-de-France,48.9414154,2.2127719
Pharmacie Blachère Baude,,,Île-de-France,48.9405247,2.2244706
Pharmacie de l'Assemblée,,,Île-de-France,48.8598508,2.3183041
Pharmacie de Varenne,Paris,,Île-de-France,48.854037,2.324019
Pharmacie du RER,,,Île-de-France,48.8445701,2.5258247
Pharmacie du Marché,,,Île-de-France,48.8384257,2.7122071
Pharmacie de la Mairie,,,Île-de-France,48.8623664,2.4429578
Pharmacie Souffir Salama,Bondy,,Île-de-France,48.8997475,2.4973937
Pharmacie Gely,Fontainebleau,77300.0,Île-de-France,48.4084371,2.7038012
Pharmacie Courtin,Fontainebleau,77300.0,Île-de-France,48.4070326,2.7033173
Pharmacie de la Salamandre,Fontainebleau,77300.0,Île-de-France,48.4058447,2.7021733
Pharmacie Centrale,Fontainebleau,77300.0,Île-de-France,48.4049379,2.7009401
Pharmacie du Marché,,,Île-de-France,48.4057685,2.7002476
Pharmacie Principale,,,Île-de-France,48.4053866,2.6992981
Pharmacie de la Gare,,,Île-de-France,48.7791591,2.2825956
Pharmacie des Quatre Chemins,,,Île-de-France,48.778667,2.2801237
Pharmacie du Palais Royal,Paris,,Île-de-France,48.8622352,2.3395906
Pharmacie du Louvre,,,Île-de-France,48.8621947,2.3416613
Pharmacie Gorlier,,,Île-de-France,48.771158,2.413947
Pharmacie Rouget de LIsle,,,Île-de-France,48.7643686,2.4051019
Pharmacie de la place de la République,Paris,75003.0,Île-de-France,48.866451,2.3643006
Pharmacie de la Place Métivier,,,Île-de-France,48.8633561,2.3882344
Pharmacie de l'Avenir,,,Île-de-France,48.8782025,2.373445
Pharmacie des Écoles,Paris,75019.0,Île-de-France,48.877532,2.3738783
Pharmacie de la Bussie,Vauréal,95490.0,Île-de-France,49.0328867,2.019702
Pharmacie du Coeur Battant,Vauréal,95490.0,Île-de-France,49.0305985,2.0205073
Pharmacie d'Ecquevilly,,,Île-de-France,48.94803,1.9225391
Pharmacie des Tilleuls,Eaubonne,95600.0,Île-de-France,48.9921947,2.2806449
Pharmacie des 3 Gares,Cergy,95800.0,Île-de-France,49.0482829,2.0106145
Pharmacie Robinson,,,Île-de-France,48.7801232,2.2800883
Pharmacie du Marché,,78100.0,Île-de-France,48.8978357,2.089686
Pharmacie Amar,,,Île-de-France,48.8241144,2.2726304
Pharmacie Charles Michels,Paris,,Île-de-France,48.8468474,2.2861719
Grande Pharmacie Hahnemann,,,Île-de-France,48.8370582,2.2963339
Pharmacie Migneau-Seigneuret,,,Île-de-France,48.7542269,2.1871974
Pharmacie Edard,,,Île-de-France,48.7930959,2.4610953
Pharmacie du Soleil,,,Île-de-France,48.7630399,2.4005576
Pharmacie de l'Hôtel de Ville,,,Île-de-France,48.8114861,2.0458096
Pharmacie Bichet,,,Île-de-France,48.8317439,2.3618766
Pharmacie Saint Maur Saint-Louis,,,Île-de-France,48.8718988,2.3720288
Pharmacie Edgar Quinet,,,Île-de-France,48.8412432,2.3252996
Grande pharmacie de Belleville,,,Île-de-France,48.8701219,2.3796681
Pharmacie 43,,,Île-de-France,48.8689687,2.3854808
Aprium Pharmacie Montparnasse,,,Île-de-France,48.8431992,2.3244536
Pharmacie de la Sourderie,,,Île-de-France,48.76982,2.0401593
Pharmacie des Écoles,,94800.0,Île-de-France,48.795029,2.3662559
